Age,Gender,MaritalStatus,Department,JobRole,EducationField,Education,MonthlyIncome,DistanceFromHome,YearsAtCompany,YearsInCurrentRole,TotalWorkingYears,NumCompaniesWorked,BusinessTravel,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,PerformanceRating,OverTime,StockOptionLevel,TrainingTimesLastYear,PercentSalaryHike,Attrition
41,Male,Married,Sales,Manager,Human Resources,3,14594,1,1,1,19,3,Travel_Rarely,2,3,2,3,No,3,2,18,No
35,Male,Married,Research & Development,Research Scientist,Human Resources,3,5753,18,12,1,12,4,Travel_Frequently,4,4,2,3,No,0,1,19,No
37,Male,Single,Research & Development,Research Scientist,Medical,1,4813,9,6,5,17,0,Travel_Rarely,3,3,2,3,No,1,2,15,No
40,Male,Single,Research & Development,Research Scientist,Technical Degree,2,3212,1,3,3,19,2,Non-Travel,3,4,3,3,Yes,0,3,16,No
28,Female,Divorced,Sales,Manager,Human Resources,3,12116,3,0,0,3,3,Travel_Rarely,4,4,3,4,No,0,6,14,No
40,Male,Divorced,Research & Development,Research Director,Medical,1,14562,11,1,1,18,2,Travel_Rarely,3,2,2,3,No,0,1,11,No
24,Female,Single,Sales,Manager,Other,2,13738,15,1,1,3,2,Travel_Rarely,3,2,2,3,No,1,1,11,Yes
38,Female,Divorced,Research & Development,Manufacturing Director,Technical Degree,3,9551,5,1,1,22,1,Travel_Rarely,3,3,2,3,No,1,4,18,No
44,Male,Divorced,Sales,Manager,Medical,3,15726,1,7,6,25,0,Travel_Rarely,2,3,3,3,No,0,1,15,No
28,Female,Single,Research & Development,Laboratory Technician,Marketing,4,3932,12,0,0,6,2,Travel_Rarely,1,4,2,4,No,0,5,13,No
21,Female,Divorced,Research & Development,Research Scientist,Medical,3,5101,1,0,0,0,2,Travel_Rarely,3,1,4,3,No,1,3,16,No
40,Male,Married,Research & Development,Laboratory Technician,Life Sciences,3,4190,5,7,0,20,2,Non-Travel,3,3,3,3,No,0,2,13,No
38,Female,Married,Sales,Sales Executive,Human Resources,5,7379,14,5,2,18,4,Travel_Rarely,3,1,2,3,Yes,0,6,14,No
40,Male,Married,Research & Development,Research Director,Other,3,16260,13,1,1,15,3,Travel_Rarely,3,3,3,3,Yes,3,2,18,Yes
50,Female,Married,Research & Development,Research Director,Other,3,16510,1,10,1,27,1,Travel_Frequently,3,4,1,3,Yes,1,6,11,No
21,Male,Single,Research & Development,Manufacturing Director,Other,3,10485,19,2,2,2,2,Travel_Rarely,3,3,3,3,Yes,1,1,16,No
35,Female,Married,Sales,Sales Representative,Medical,4,2776,6,12,0,17,3,Travel_Frequently,1,2,3,3,Yes,0,6,13,No
45,Male,Married,Research & Development,Manufacturing Director,Technical Degree,3,9906,1,0,0,21,1,Travel_Rarely,1,3,3,4,No,0,5,15,No
54,Female,Married,Sales,Sales Representative,Medical,4,2836,2,3,3,32,6,Travel_Rarely,2,3,4,3,Yes,1,2,15,No
24,Male,Single,Research & Development,Manufacturing Director,Life Sciences,2,9435,12,2,2,3,3,Travel_Frequently,1,1,3,3,No,0,6,14,Yes
44,Female,Married,Research & Development,Research Scientist,Life Sciences,2,4358,7,4,1,19,4,Travel_Rarely,4,2,3,3,Yes,0,2,17,No
50,Male,Married,Research & Development,Research Director,Life Sciences,3,15194,6,3,0,29,3,Travel_Rarely,4,3,3,4,No,1,3,20,No
40,Male,Single,Research & Development,Manufacturing Director,Life Sciences,4,11673,2,3,2,20,3,Travel_Rarely,4,4,3,3,Yes,1,0,16,No
52,Male,Married,Sales,Sales Representative,Technical Degree,4,3848,6,2,2,29,5,Travel_Rarely,3,2,3,3,Yes,1,2,14,No
28,Male,Married,Research & Development,Laboratory Technician,Medical,3,4700,2,5,2,5,4,Non-Travel,4,3,3,3,No,2,0,15,No
58,Female,Single,Sales,Sales Representative,Human Resources,3,4022,15,2,2,29,3,Travel_Rarely,2,3,3,3,No,0,1,17,No
43,Male,Single,Sales,Manager,Marketing,4,13841,9,0,0,22,3,Travel_Frequently,4,4,1,3,No,0,3,14,No
28,Male,Divorced,Sales,Sales Executive,Technical Degree,2,9215,1,8,6,9,4,Travel_Rarely,3,1,4,3,Yes,2,1,16,Yes
40,Male,Single,Human Resources,Manager,Other,3,14274,16,5,4,18,1,Travel_Rarely,3,1,3,3,No,0,5,12,No
31,Male,Single,Sales,Manager,Marketing,1,14505,5,4,4,5,4,Non-Travel,1,3,3,3,Yes,1,6,19,Yes
44,Female,Single,Human Resources,Manager,Human Resources,3,14294,3,2,2,23,4,Travel_Frequently,2,3,3,4,No,0,2,21,No
31,Male,Single,Research & Development,Laboratory Technician,Life Sciences,2,1000,3,0,0,10,3,Travel_Rarely,4,2,3,3,No,1,4,17,No
36,Male,Single,Research & Development,Manufacturing Director,Life Sciences,3,9133,12,1,0,19,0,Travel_Rarely,2,1,2,3,No,1,3,11,No
35,Female,Single,Research & Development,Research Director,Marketing,4,17583,15,6,3,13,2,Travel_Rarely,1,4,3,3,No,1,4,13,No
39,Male,Married,Sales,Manager,Marketing,3,12698,17,6,3,17,5,Travel_Rarely,4,2,3,3,Yes,1,0,19,No
33,Female,Married,Research & Development,Research Scientist,Life Sciences,3,4957,10,3,1,10,1,Travel_Frequently,2,2,2,4,No,1,3,18,No
46,Male,Married,Research & Development,Research Scientist,Life Sciences,1,4426,2,1,0,23,3,Travel_Rarely,4,3,3,4,No,1,1,14,No
28,Male,Divorced,Research & Development,Research Scientist,Human Resources,5,5695,19,5,2,5,0,Travel_Frequently,1,3,3,3,Yes,1,3,17,Yes
55,Female,Single,Research & Development,Laboratory Technician,Medical,1,1759,7,1,1,34,1,Non-Travel,4,2,3,3,No,2,1,12,No
33,Female,Single,Research & Development,Manufacturing Director,Technical Degree,1,9783,1,0,0,11,3,Travel_Frequently,2,4,4,3,No,1,4,20,No
42,Female,Single,Research & Development,Research Director,Medical,4,15581,6,0,0,26,1,Travel_Rarely,4,4,3,3,No,0,6,12,No
49,Female,Married,Research & Development,Research Scientist,Other,5,3992,1,4,1,28,3,Travel_Frequently,3,3,3,3,Yes,1,4,19,No
37,Male,Married,Research & Development,Laboratory Technician,Medical,4,3134,12,3,1,11,1,Travel_Rarely,4,1,3,3,No,2,1,11,No
49,Female,Single,Sales,Sales Executive,Technical Degree,3,6825,2,1,0,27,2,Travel_Rarely,4,4,4,4,Yes,0,4,20,Yes
42,Male,Single,Research & Development,Research Director,Life Sciences,2,17409,9,3,3,19,2,Travel_Rarely,1,3,3,3,No,2,4,13,No
31,Male,Single,Sales,Manager,Medical,3,13599,3,6,0,10,3,Travel_Rarely,3,3,1,3,No,0,5,14,No
49,Male,Married,Sales,Manager,Technical Degree,4,14448,2,0,0,23,3,Travel_Rarely,4,2,1,3,No,1,1,13,No
51,Male,Married,Research & Development,Laboratory Technician,Life Sciences,3,3335,1,10,1,30,1,Travel_Rarely,3,3,3,3,No,0,2,11,No
33,Male,Divorced,Research & Development,Manufacturing Director,Human Resources,3,10540,5,11,2,17,2,Travel_Rarely,3,2,2,3,No,0,6,17,No
36,Male,Married,Sales,Sales Representative,Life Sciences,4,2090,10,1,0,15,3,Travel_Rarely,3,4,2,3,No,1,3,17,No
25,Female,Single,Research & Development,Research Director,Technical Degree,3,14920,6,2,2,3,3,Travel_Rarely,1,4,2,3,Yes,0,1,16,Yes
28,Female,Single,Sales,Sales Executive,Other,3,7913,17,9,2,9,2,Travel_Rarely,2,4,3,3,No,2,4,15,No
38,Male,Single,Research & Development,Laboratory Technician,Marketing,4,2523,1,4,1,13,5,Travel_Rarely,2,3,3,3,Yes,2,4,15,Yes
42,Male,Single,Research & Development,Research Scientist,Medical,5,4177,5,2,0,24,1,Travel_Rarely,3,3,3,3,No,1,3,16,No
40,Male,Divorced,Research & Development,Research Director,Life Sciences,3,17248,11,1,0,20,5,Travel_Rarely,3,3,3,3,No,1,3,15,No
33,Male,Married,Sales,Sales Representative,Marketing,4,4364,2,6,1,12,0,Travel_Rarely,3,3,3,3,No,0,4,16,No
40,Female,Divorced,Research & Development,Research Scientist,Life Sciences,2,5318,7,11,1,20,0,Travel_Rarely,1,4,4,3,No,0,4,11,No
37,Female,Single,Research & Development,Research Scientist,Marketing,3,5178,3,2,1,15,1,Travel_Rarely,3,2,3,3,Yes,0,1,13,No
38,Female,Divorced,Research & Development,Research Scientist,Other,3,5063,2,1,1,16,6,Travel_Rarely,3,4,4,3,Yes,2,3,17,No
27,Male,Divorced,Sales,Sales Executive,Marketing,2,6918,6,2,0,11,4,Non-Travel,3,4,3,3,Yes,0,2,12,No
43,Male,Married,Research & Development,Manufacturing Director,Technical Degree,3,9205,9,4,0,22,0,Travel_Frequently,1,3,4,3,No,0,3,23,No
30,Male,Divorced,Research & Development,Research Scientist,Medical,3,5900,17,6,6,6,2,Travel_Rarely,4,3,3,3,No,0,4,18,No
24,Female,Single,Research & Development,Laboratory Technician,Other,3,3289,2,5,0,5,3,Travel_Rarely,4,1,4,3,Yes,0,0,12,No
31,Male,Married,Sales,Manager,Life Sciences,3,16134,7,1,1,10,4,Travel_Rarely,3,4,4,3,No,0,2,11,No
23,Female,Single,Research & Development,Laboratory Technician,Marketing,4,4295,9,0,0,0,3,Travel_Frequently,3,1,3,3,No,2,2,11,No
32,Male,Divorced,Human Resources,Human Resources,Marketing,4,3686,1,0,0,13,2,Travel_Rarely,1,3,3,3,No,0,4,16,No
21,Female,Married,Research & Development,Laboratory Technician,Human Resources,2,2946,1,0,0,0,3,Travel_Rarely,3,4,3,3,No,1,3,16,No
35,Female,Married,Research & Development,Laboratory Technician,Human Resources,4,3207,1,0,0,13,2,Travel_Rarely,3,2,2,4,No,3,3,13,No
45,Male,Single,Research & Development,Research Director,Technical Degree,3,18983,16,24,6,25,1,Travel_Rarely,3,4,2,3,Yes,0,0,14,No
36,Male,Married,Research & Development,Research Scientist,Medical,3,3856,1,2,2,17,3,Travel_Rarely,4,3,2,3,No,1,3,13,No
55,Male,Married,Sales,Manager,Other,3,14435,11,3,3,31,4,Travel_Rarely,4,2,3,3,No,1,1,14,No
32,Male,Divorced,Human Resources,Human Resources,Life Sciences,1,1630,17,0,0,11,1,Travel_Rarely,4,3,3,3,No,0,3,12,No
40,Male,Married,Research & Development,Laboratory Technician,Technical Degree,3,2396,2,5,1,16,2,Travel_Rarely,1,3,3,4,No,0,6,14,No
40,Female,Divorced,Research & Development,Research Director,Technical Degree,3,15650,26,4,1,21,4,Travel_Rarely,1,3,2,3,Yes,1,1,17,No
50,Male,Single,Research & Development,Research Scientist,Marketing,4,4020,7,2,0,28,4,Travel_Rarely,4,2,2,3,No,0,4,19,No
18,Female,Single,Research & Development,Manufacturing Director,Technical Degree,3,9530,29,0,0,0,2,Non-Travel,1,1,2,3,No,0,1,20,Yes
30,Male,Married,Research & Development,Research Scientist,Marketing,3,5067,11,6,0,10,2,Travel_Rarely,3,4,3,4,No,3,4,16,No
40,Male,Married,Research & Development,Laboratory Technician,Other,3,4162,1,0,0,12,2,Non-Travel,1,2,3,3,No,1,2,16,No
25,Female,Single,Research & Development,Laboratory Technician,Human Resources,3,5286,29,0,0,9,1,Travel_Frequently,1,3,3,3,No,0,1,17,Yes
52,Male,Single,Research & Development,Research Scientist,Other,4,4995,1,3,0,34,1,Travel_Frequently,4,1,2,3,No,1,1,16,No
39,Female,Divorced,Research & Development,Manufacturing Director,Medical,4,10169,11,15,3,15,4,Travel_Rarely,1,1,2,3,No,1,3,14,No
27,Male,Married,Sales,Manager,Human Resources,2,14340,6,5,4,5,1,Travel_Rarely,3,4,1,4,No,0,2,11,No
45,Female,Divorced,Research & Development,Research Scientist,Human Resources,1,4729,4,3,1,27,3,Travel_Rarely,3,3,3,3,No,2,3,12,No
38,Male,Married,Research & Development,Research Scientist,Human Resources,2,5136,3,5,2,19,2,Travel_Rarely,3,2,3,4,No,1,1,14,No
57,Female,Married,Sales,Sales Executive,Marketing,2,11418,12,25,1,34,1,Travel_Rarely,1,4,4,3,No,0,3,11,No
28,Male,Single,Research & Development,Laboratory Technician,Marketing,3,3095,18,0,0,8,5,Travel_Rarely,4,2,3,3,No,0,2,14,No
32,Male,Married,Sales,Sales Executive,Technical Degree,3,7014,1,7,4,12,1,Travel_Rarely,1,4,2,3,No,0,4,11,Yes
30,Female,Divorced,Research & Development,Laboratory Technician,Medical,3,4483,17,1,1,7,2,Travel_Rarely,1,3,3,3,No,1,2,11,Yes
36,Female,Married,Sales,Sales Representative,Marketing,4,5020,8,5,1,18,3,Travel_Frequently,4,2,2,3,No,1,2,11,Yes
45,Male,Single,Research & Development,Research Scientist,Technical Degree,3,7416,3,22,0,22,2,Travel_Rarely,1,2,2,3,No,0,4,11,No
18,Male,Married,Sales,Manager,Other,4,12797,4,0,0,0,3,Travel_Frequently,3,4,4,3,Yes,3,2,15,No
43,Male,Single,Sales,Manager,Human Resources,3,13441,17,9,1,24,4,Travel_Rarely,3,3,3,3,No,0,2,12,No
41,Male,Divorced,Research & Development,Manufacturing Director,Marketing,4,10395,1,4,2,19,2,Travel_Frequently,4,1,3,3,Yes,0,2,13,No
46,Male,Married,Research & Development,Laboratory Technician,Life Sciences,1,5360,5,19,2,32,4,Travel_Rarely,2,3,3,3,Yes,1,4,16,No
41,Female,Married,Research & Development,Research Scientist,Marketing,4,6185,22,3,0,22,2,Travel_Rarely,2,3,3,4,No,0,1,11,No
36,Female,Married,Research & Development,Research Director,Technical Degree,4,15144,21,1,1,13,2,Travel_Rarely,3,1,3,3,No,0,3,12,No
53,Male,Single,Research & Development,Research Director,Medical,4,16767,2,10,1,32,2,Non-Travel,1,2,2,3,No,1,3,11,No
31,Female,Married,Research & Development,Manufacturing Director,Human Resources,3,8585,14,6,2,6,1,Travel_Rarely,2,1,3,3,No,0,4,15,No
28,Female,Married,Research & Development,Research Scientist,Human Resources,1,5063,22,1,1,1,0,Travel_Rarely,4,2,3,3,No,2,2,14,No
36,Female,Married,Sales,Sales Representative,Other,4,3901,13,10,0,16,4,Non-Travel,4,3,2,3,No,0,6,17,No
34,Male,Married,Sales,Sales Representative,Technical Degree,1,2652,6,2,2,12,6,Travel_Frequently,4,4,3,3,Yes,1,4,15,No
39,Female,Married,Research & Development,Laboratory Technician,Medical,3,1459,1,0,0,17,0,Travel_Rarely,2,4,4,3,No,2,1,14,No
19,Male,Married,Sales,Sales Representative,Other,3,1000,15,0,0,0,1,Travel_Rarely,3,3,3,3,Yes,0,2,20,Yes
28,Female,Married,Research & Development,Manufacturing Director,Technical Degree,3,10587,4,4,4,4,2,Travel_Rarely,3,2,3,3,No,0,6,20,No
36,Female,Divorced,Research & Development,Laboratory Technician,Other,4,4826,1,10,0,17,4,Travel_Rarely,2,3,2,4,No,0,5,16,No
33,Male,Married,Human Resources,Manager,Technical Degree,3,15230,5,10,2,12,0,Travel_Rarely,3,4,3,3,Yes,0,5,17,No
37,Male,Married,Sales,Sales Representative,Technical Degree,4,3657,14,8,3,10,2,Travel_Rarely,4,2,2,3,No,0,2,21,No
37,Male,Married,Sales,Manager,Medical,2,16575,5,14,4,14,2,Travel_Rarely,4,2,1,3,No,0,3,11,No
52,Female,Divorced,Research & Development,Manufacturing Director,Other,4,11473,2,1,1,26,3,Travel_Rarely,3,2,4,3,No,0,2,22,No
36,Female,Single,Sales,Manager,Medical,2,13234,3,8,1,15,4,Travel_Rarely,2,4,1,3,Yes,0,3,17,No
39,Male,Single,Research & Development,Laboratory Technician,Technical Degree,4,3010,29,0,0,17,2,Travel_Rarely,4,3,3,4,No,1,2,22,No
49,Male,Married,Research & Development,Research Scientist,Marketing,3,4257,7,1,1,30,5,Travel_Rarely,4,3,3,3,Yes,0,4,23,No
39,Female,Married,Research & Development,Laboratory Technician,Human Resources,4,3084,10,8,1,12,1,Travel_Rarely,1,3,3,3,No,2,0,11,No
30,Male,Single,Research & Development,Manufacturing Director,Life Sciences,5,11429,13,7,0,10,5,Travel_Rarely,3,3,3,4,No,2,3,14,No
36,Female,Married,Research & Development,Research Director,Marketing,3,15769,2,4,4,19,5,Travel_Rarely,3,4,3,3,No,2,2,17,No
37,Female,Single,Research & Development,Research Director,Human Resources,3,15847,4,2,0,15,4,Travel_Rarely,2,4,2,3,No,1,2,18,No
41,Male,Married,Sales,Manager,Medical,3,12413,4,0,0,21,1,Travel_Rarely,3,4,2,3,No,1,4,23,No
28,Male,Single,Sales,Manager,Marketing,3,14421,5,2,0,8,2,Travel_Rarely,3,1,3,3,Yes,1,1,11,No
23,Female,Single,Research & Development,Manufacturing Director,Medical,3,11333,29,0,0,6,4,Travel_Rarely,4,1,2,3,No,1,2,19,Yes
38,Female,Single,Research & Development,Research Director,Life Sciences,4,17188,3,3,1,15,3,Travel_Frequently,2,4,2,3,No,1,2,22,No
37,Male,Married,Sales,Sales Executive,Human Resources,3,6951,1,5,0,9,1,Travel_Rarely,1,4,4,3,No,0,0,15,No
29,Female,Single,Sales,Sales Representative,Human Resources,2,2394,1,6,0,9,2,Travel_Frequently,4,1,4,3,No,0,3,15,Yes
24,Male,Divorced,Research & Development,Research Director,Marketing,4,16573,1,0,0,0,2,Travel_Rarely,4,3,3,3,No,1,4,13,No
32,Male,Single,Research & Development,Research Scientist,Marketing,3,3890,24,2,2,9,1,Travel_Rarely,3,2,3,3,No,0,1,11,Yes
31,Female,Married,Research & Development,Research Scientist,Marketing,3,4832,4,8,5,8,4,Non-Travel,2,4,3,3,No,2,0,11,No
39,Female,Divorced,Sales,Manager,Marketing,4,13465,7,2,0,18,4,Travel_Rarely,2,1,2,3,No,1,4,11,Yes
35,Male,Married,Sales,Sales Representative,Marketing,3,2693,6,2,0,12,3,Travel_Rarely,2,3,1,3,No,1,2,18,No
41,Male,Divorced,Research & Development,Research Scientist,Life Sciences,2,3688,5,1,1,21,2,Non-Travel,3,2,3,3,No,0,2,17,No
37,Female,Single,Research & Development,Laboratory Technician,Life Sciences,3,2541,1,5,0,12,3,Travel_Frequently,3,4,3,3,No,1,4,19,No
38,Male,Married,Research & Development,Laboratory Technician,Medical,2,2187,2,0,0,18,4,Travel_Rarely,2,3,3,3,Yes,1,3,15,No
48,Male,Single,Sales,Sales Executive,Medical,4,5695,1,0,0,31,4,Travel_Rarely,4,4,3,3,No,0,2,17,No
33,Male,Married,Sales,Sales Representative,Other,4,5332,8,12,6,12,3,Travel_Rarely,4,3,4,3,Yes,1,1,14,No
33,Male,Married,Research & Development,Research Scientist,Human Resources,5,4352,8,7,5,15,4,Travel_Rarely,2,3,3,4,No,1,1,18,No
28,Male,Married,Sales,Sales Executive,Other,4,7906,12,2,2,11,0,Travel_Rarely,4,4,2,3,No,0,3,11,No
27,Male,Divorced,Sales,Sales Executive,Other,4,7601,3,4,2,4,1,Travel_Rarely,4,3,2,3,No,0,3,23,No
23,Female,Divorced,Research & Development,Research Director,Technical Degree,2,14882,1,0,0,0,3,Non-Travel,3,2,2,3,Yes,1,3,13,No
42,Female,Divorced,Research & Development,Research Scientist,Other,4,5222,11,2,2,22,2,Travel_Rarely,3,4,4,3,No,1,3,21,No
36,Male,Single,Sales,Manager,Other,3,16383,13,14,5,14,2,Travel_Rarely,3,4,2,4,No,2,3,17,No
33,Male,Single,Research & Development,Laboratory Technician,Medical,2,4286,1,8,8,12,1,Non-Travel,4,2,3,3,Yes,1,5,16,Yes
37,Female,Married,Sales,Manager,Technical Degree,1,15760,2,12,3,18,2,Travel_Rarely,1,4,4,3,No,0,3,16,No
41,Male,Divorced,Research & Development,Research Scientist,Marketing,2,2846,2,5,0,23,1,Travel_Rarely,4,4,3,3,No,0,2,14,No
31,Female,Married,Sales,Sales Representative,Other,3,2376,29,3,3,3,3,Non-Travel,3,2,3,3,No,3,0,14,Yes
31,Male,Single,Sales,Manager,Medical,3,12463,8,2,2,9,2,Travel_Frequently,4,4,3,3,Yes,1,3,11,No
27,Male,Divorced,Research & Development,Manufacturing Director,Life Sciences,3,9825,1,3,0,9,2,Travel_Frequently,3,3,3,3,No,0,3,14,No
45,Male,Single,Sales,Sales Executive,Technical Degree,2,7812,5,11,1,26,6,Travel_Rarely,4,4,4,3,No,0,2,16,No
45,Male,Single,Research & Development,Laboratory Technician,Marketing,3,5869,5,20,0,21,2,Travel_Rarely,2,3,3,3,No,0,3,22,No
37,Male,Divorced,Research & Development,Research Scientist,Life Sciences,3,5435,1,7,7,15,3,Travel_Rarely,4,3,3,3,No,0,1,19,No
34,Male,Single,Human Resources,Manager,Marketing,2,13668,7,5,1,15,3,Travel_Rarely,4,4,2,3,Yes,1,0,16,No
37,Male,Married,Research & Development,Research Director,Human Resources,4,16440,2,4,0,15,1,Travel_Rarely,2,3,2,3,No,1,1,11,No
44,Male,Married,Research & Development,Laboratory Technician,Technical Degree,3,4525,27,4,4,22,4,Travel_Frequently,3,1,3,3,Yes,1,4,18,No
25,Male,Married,Research & Development,Research Director,Technical Degree,1,17497,8,4,4,4,5,Travel_Rarely,4,4,3,4,No,1,1,15,No
56,Male,Single,Sales,Sales Executive,Technical Degree,2,7748,28,1,1,40,2,Travel_Frequently,4,3,2,3,No,0,4,20,No
48,Male,Married,Research & Development,Research Director,Medical,4,16100,1,8,5,29,4,Travel_Rarely,4,4,4,3,No,2,2,15,No
43,Female,Divorced,Research & Development,Laboratory Technician,Marketing,1,4474,1,11,4,29,2,Travel_Rarely,1,3,3,3,No,1,1,18,No
32,Female,Single,Sales,Sales Executive,Marketing,3,8517,6,9,0,9,0,Travel_Rarely,1,4,3,4,No,0,2,18,No
26,Female,Married,Research & Development,Research Scientist,Marketing,4,4329,9,5,1,5,2,Travel_Rarely,4,3,3,3,No,0,4,14,No
33,Male,Married,Research & Development,Research Scientist,Marketing,3,3809,4,6,0,14,2,Travel_Rarely,2,1,2,4,No,3,3,12,No
35,Female,Divorced,Sales,Manager,Life Sciences,4,13073,1,0,0,16,2,Travel_Rarely,4,3,3,3,No,1,0,14,No
25,Female,Married,Sales,Sales Executive,Other,1,5487,26,0,0,0,2,Travel_Rarely,3,4,3,3,Yes,0,6,15,Yes
40,Female,Married,Research & Development,Research Director,Technical Degree,4,18906,21,13,1,20,2,Travel_Frequently,4,4,3,4,No,2,4,11,No
53,Male,Married,Sales,Sales Executive,Other,1,5148,2,0,0,32,1,Travel_Rarely,1,4,3,3,Yes,0,4,13,Yes
28,Female,Divorced,Research & Development,Laboratory Technician,Technical Degree,1,3023,1,2,2,6,2,Travel_Rarely,2,4,2,4,Yes,0,5,14,No
24,Female,Married,Research & Development,Research Scientist,Marketing,3,5611,7,3,3,7,2,Travel_Rarely,1,4,2,3,Yes,2,2,11,No
45,Female,Married,Sales,Sales Executive,Human Resources,1,8782,9,6,0,21,5,Travel_Frequently,2,3,3,3,No,1,2,11,No
28,Female,Married,Sales,Manager,Human Resources,2,12443,13,1,1,10,1,Travel_Rarely,3,3,3,4,No,1,1,16,No
46,Female,Married,Sales,Sales Executive,Technical Degree,4,5372,17,3,0,22,4,Travel_Rarely,4,2,1,4,No,1,0,16,No
37,Male,Single,Sales,Sales Executive,Medical,3,9107,1,16,0,20,4,Travel_Rarely,4,1,3,3,No,0,1,11,No
31,Female,Single,Sales,Sales Representative,Other,3,2433,14,0,0,9,3,Travel_Rarely,4,1,3,3,No,0,2,17,No
49,Male,Single,Research & Development,Research Scientist,Human Resources,3,5100,1,11,0,28,0,Travel_Rarely,2,4,3,3,Yes,1,4,16,No
21,Male,Married,Research & Development,Manufacturing Director,Medical,5,8131,4,2,1,4,2,Travel_Frequently,2,4,2,3,Yes,0,6,19,Yes
39,Male,Married,Research & Development,Research Director,Technical Degree,2,16861,4,8,1,16,6,Travel_Rarely,2,2,1,3,No,1,5,15,No
22,Male,Single,Sales,Sales Representative,Marketing,2,2691,6,0,0,0,3,Travel_Frequently,1,4,1,3,Yes,1,0,13,Yes
51,Female,Divorced,Research & Development,Research Director,Technical Degree,2,17467,7,0,0,28,2,Travel_Frequently,3,2,3,3,Yes,1,3,11,No
32,Male,Divorced,Sales,Manager,Medical,1,14696,13,4,1,7,4,Travel_Rarely,4,2,2,3,No,1,3,12,No
36,Male,Single,Research & Development,Research Director,Other,4,16608,9,0,0,14,1,Travel_Rarely,4,2,3,3,Yes,2,5,13,Yes
25,Female,Married,Research & Development,Research Scientist,Other,4,4419,4,5,5,5,2,Travel_Rarely,2,4,2,3,Yes,0,2,17,No
32,Female,Single,Research & Development,Manufacturing Director,Other,3,10940,8,10,4,13,2,Travel_Rarely,3,1,3,3,No,1,5,16,No
49,Male,Divorced,Human Resources,Human Resources,Other,4,3189,9,5,0,26,3,Travel_Frequently,2,2,3,3,No,2,2,13,No
32,Male,Single,Research & Development,Research Scientist,Marketing,4,3900,4,0,0,13,6,Travel_Rarely,4,3,2,3,Yes,1,3,16,Yes
25,Female,Married,Research & Development,Manufacturing Director,Marketing,3,9221,3,5,1,5,1,Travel_Rarely,4,2,2,3,No,1,5,16,No
41,Female,Married,Sales,Manager,Technical Degree,1,14399,2,2,1,17,4,Non-Travel,1,3,2,3,Yes,1,2,13,No
28,Female,Married,Research & Development,Research Director,Marketing,2,14468,8,5,0,7,0,Travel_Frequently,2,3,2,3,Yes,2,3,17,Yes
53,Female,Married,Research & Development,Manufacturing Director,Life Sciences,3,8797,1,1,1,32,1,Travel_Rarely,3,4,2,3,No,1,4,17,No
36,Male,Single,Research & Development,Laboratory Technician,Technical Degree,2,3785,4,3,0,19,2,Travel_Rarely,3,2,3,3,No,3,1,13,No
40,Male,Married,Research & Development,Research Director,Medical,5,17463,17,10,0,17,5,Travel_Rarely,1,4,3,3,No,1,2,12,No
32,Female,Single,Research & Development,Research Scientist,Technical Degree,2,3022,5,10,3,10,4,Travel_Rarely,2,4,3,3,No,0,4,15,No
42,Female,Single,Research & Development,Research Director,Life Sciences,3,15130,1,1,1,20,4,Travel_Frequently,1,4,3,3,No,3,2,11,No
30,Male,Married,Research & Development,Manufacturing Director,Life Sciences,4,9701,5,4,2,13,0,Travel_Rarely,2,4,3,4,No,0,4,13,No
26,Male,Divorced,Research & Development,Manufacturing Director,Medical,4,9568,12,3,0,3,1,Travel_Rarely,4,1,3,3,No,3,2,18,No
45,Male,Single,Research & Development,Laboratory Technician,Technical Degree,3,4188,1,17,2,24,5,Travel_Rarely,4,4,2,3,No,0,4,11,No
29,Male,Divorced,Sales,Manager,Other,4,15028,1,6,4,12,1,Travel_Frequently,4,3,3,3,Yes,1,4,15,No
37,Male,Single,Research & Development,Research Director,Technical Degree,4,13694,1,1,0,14,3,Travel_Frequently,1,4,3,3,No,0,2,19,No
40,Female,Divorced,Research & Development,Laboratory Technician,Marketing,4,4646,1,13,0,21,3,Travel_Rarely,2,3,4,3,No,0,3,18,No
35,Male,Married,Research & Development,Manufacturing Director,Life Sciences,2,8936,1,1,0,9,2,Travel_Frequently,2,4,2,3,Yes,1,1,11,No
29,Male,Divorced,Research & Development,Research Director,Technical Degree,1,15958,18,3,3,4,3,Travel_Rarely,1,2,2,3,No,1,3,20,No
31,Female,Single,Sales,Sales Representative,Life Sciences,3,2998,13,1,1,10,4,Travel_Rarely,2,2,3,3,No,2,1,12,No
43,Female,Married,Research & Development,Research Scientist,Technical Degree,4,4083,1,7,0,22,2,Travel_Rarely,2,1,1,3,Yes,0,1,15,Yes
44,Female,Married,Research & Development,Research Director,Technical Degree,4,15815,1,6,5,18,0,Travel_Frequently,1,3,3,3,No,0,2,21,No
47,Male,Single,Research & Development,Research Director,Human Resources,3,18384,4,9,0,23,1,Travel_Frequently,2,4,3,4,No,1,4,11,No
18,Female,Single,Research & Development,Manufacturing Director,Human Resources,2,9209,29,0,0,0,4,Travel_Rarely,4,4,2,3,Yes,1,4,20,Yes
27,Female,Divorced,Research & Development,Laboratory Technician,Medical,3,2738,25,3,3,5,0,Travel_Rarely,3,2,2,3,No,1,1,21,Yes
